POA_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
POA2000,13,6,4,10,4,0,7,126,0,0,0,0,0,6,0,0,0,0,0,3,5,0,0,19,0,0,4,4,8,7,15,12,5,8,5,24,7,0,0,103,0,5,9,7,4,7,16,43,12,15,22,31,10,0,4,189,0,0,0,4,9,50,65,48,17,28,32,56,37,23,13,390,0,0,0,9,32,53,184,154,58,62,73,91,23,0,30,770,0,0,13,14,10,8,6,4,3,0,0,0,4,0,0,57,0,3,14,36,81,41,97,72,48,87,64,61,24,7,13,650,0,0,0,0,0,0,13,11,4,22,21,17,4,0,0,98,0,6,0,0,3,0,5,3,0,4,0,3,5,5,0,40,3,0,13,26,49,66,68,42,14,20,19,28,21,39,8,409,0,0,5,0,4,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,6,12,19,0,3,4,4,0,4,0,59
POA2007,6,8,4,5,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,3,0,4,0,4,0,0,0,0,21,0,0,0,3,0,0,14,25,3,8,9,10,4,0,0,71,0,0,0,0,0,11,28,15,7,11,0,12,7,0,4,95,0,0,0,0,3,4,19,19,9,3,14,26,18,0,7,124,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,10,0,0,4,8,10,14,30,19,11,19,29,25,10,5,3,184,0,0,0,0,0,0,4,4,0,3,4,4,0,0,3,24,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,5,14,18,22,21,3,0,12,0,5,3,3,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,4,4,0,0,31
POA2008,0,4,0,13,4,0,0,49,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,4,3,3,6,3,0,0,0,0,0,21,0,0,0,0,0,5,8,9,5,5,4,11,0,0,3,52,0,0,0,0,3,5,12,16,3,3,14,11,9,3,6,86,0,0,0,0,0,4,47,28,13,14,16,23,7,4,0,157,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,3,11,24,14,30,31,15,22,24,22,18,6,4,215,0,0,0,0,0,0,3,3,0,0,4,8,0,0,0,23,0,0,4,0,0,0,7,0,0,0,3,9,0,0,0,22,0,0,3,16,24,36,40,22,0,11,17,27,13,39,9,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,5,0,0,4,0,3,5,0,23
POA2009,5,0,4,4,0,0,0,81,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,8,0,0,3,0,7,3,30,25,4,4,4,9,0,0,0,89,0,16,9,3,5,13,19,52,9,11,15,24,8,5,8,184,0,0,0,0,7,25,39,21,3,6,19,14,6,0,3,143,0,0,0,11,16,31,46,32,9,7,10,21,9,0,3,198,3,3,0,5,8,0,0,4,0,0,0,0,0,0,0,25,0,0,8,34,60,22,54,22,9,4,8,0,0,0,3,237,0,0,0,0,0,0,4,5,5,4,0,8,0,0,0,23,0,3,0,3,5,0,3,8,0,0,0,0,0,0,0,24,0,9,13,33,34,58,54,38,9,7,6,7,11,8,0,283,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,16,0,0,0,0,6,0,4,13,0,3,0,5,0,0,0,34
POA2010,0,0,3,3,0,0,0,73,0,0,0,0,0,9,0,3,0,0,4,0,0,0,0,19,0,0,0,5,19,17,53,55,10,10,26,15,16,5,3,244,0,17,24,5,3,11,22,69,15,17,10,23,16,0,6,251,0,0,0,4,10,33,47,23,8,9,9,27,7,0,7,188,0,0,0,9,19,24,37,28,9,5,7,15,3,0,5,166,0,0,8,13,8,3,3,7,0,0,0,0,0,0,0,41,0,0,5,18,59,25,55,30,11,24,15,4,4,0,4,264,0,0,0,0,0,9,13,6,5,9,24,5,6,0,8,79,0,6,4,3,4,6,15,15,5,8,10,8,4,5,0,92,0,0,42,86,162,167,182,112,26,29,38,42,21,34,19,963,0,4,0,5,0,4,3,0,0,0,0,0,0,0,4,22,0,0,0,0,5,3,4,10,0,0,0,3,0,0,0,28
POA2011,0,3,5,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,14,4,10,8,35,29,7,12,3,13,6,0,0,142,0,12,18,4,4,3,21,50,14,13,3,15,0,0,0,161,0,0,4,4,18,32,27,19,5,6,6,0,3,0,0,117,0,0,0,3,11,12,27,14,4,3,0,4,4,0,0,74,0,0,0,9,4,4,3,0,0,0,0,0,0,0,0,27,0,0,8,21,26,15,26,17,7,0,3,3,0,0,4,127,0,0,0,0,0,0,7,4,5,8,16,6,0,0,0,45,5,5,0,0,4,4,8,0,0,4,6,8,3,0,0,52,4,10,37,73,149,125,121,71,18,15,22,33,8,16,16,716,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,4,5,0,0,5,3,0,0,0,23
POA2015,0,5,0,0,0,0,0,25,0,0,4,0,0,3,3,0,0,0,0,0,0,0,0,9,0,0,0,5,12,12,38,18,12,0,6,11,3,0,0,120,0,0,8,0,4,3,9,25,8,4,0,5,0,0,5,74,0,0,0,0,4,10,13,3,0,0,0,0,0,0,3,43,0,0,0,3,17,14,17,8,0,0,3,6,0,0,0,58,0,0,5,0,7,0,5,0,0,0,0,0,0,0,0,12,0,0,0,6,20,20,35,13,0,0,4,5,0,0,0,108,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,11,0,0,0,0,0,0,7,3,0,0,3,0,0,0,0,25,0,0,5,30,40,74,90,43,14,12,19,16,4,7,5,367,0,0,5,6,0,4,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,5,0,3,0,3,0,0,0,15
POA2016,3,0,3,0,3,0,0,25,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,12,0,0,4,4,7,7,30,33,3,9,4,8,7,0,5,117,0,7,6,7,0,5,12,21,5,4,4,5,4,0,6,75,0,0,0,0,8,17,29,12,7,0,5,10,0,0,0,85,0,0,0,3,22,14,16,13,4,4,3,13,3,0,5,98,0,13,32,17,7,0,0,5,0,0,0,0,0,0,0,80,0,0,0,16,24,25,14,9,7,4,14,7,0,0,3,117,0,0,0,0,0,0,8,0,5,3,6,10,4,0,0,44,0,0,3,0,5,4,3,3,3,5,3,5,0,0,0,38,0,3,15,36,71,76,60,50,5,8,20,12,9,8,13,388,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,5,6,6,0,0,0,25
POA2017,21,20,19,19,8,3,0,203,0,0,0,0,0,16,8,4,0,0,0,0,0,0,0,27,0,0,3,3,8,7,94,189,50,89,132,164,62,3,4,808,0,10,8,10,4,4,34,82,22,21,29,26,9,3,3,267,0,0,0,0,11,26,42,24,7,10,10,6,3,0,4,140,0,0,0,12,30,60,90,54,14,7,21,30,6,0,13,338,0,0,4,8,10,4,5,3,0,0,0,0,0,0,3,50,0,3,10,14,49,37,101,53,16,23,29,21,14,6,10,369,0,0,0,0,0,9,11,0,0,0,8,6,0,0,0,33,0,6,0,0,3,6,10,9,6,3,5,3,4,0,0,52,0,0,21,50,67,111,141,114,29,17,27,38,30,24,19,675,0,0,4,4,6,0,0,6,0,0,0,0,0,0,0,17,0,0,0,0,5,0,7,13,3,7,6,4,4,0,0,49
POA2018,4,5,7,6,10,0,4,107,0,0,0,7,8,57,39,28,0,0,0,0,0,0,4,142,0,0,3,3,22,17,85,124,16,36,44,39,14,0,0,397,3,33,57,20,9,3,10,52,5,9,4,7,0,0,7,207,0,0,0,3,6,15,9,12,3,0,6,3,0,0,0,61,0,0,0,4,21,34,34,15,4,4,0,4,4,0,8,127,0,5,23,29,10,12,3,0,0,0,0,0,0,0,0,87,0,0,4,8,39,23,37,27,6,12,8,9,8,0,0,191,0,0,0,0,0,0,3,5,0,4,13,3,0,0,0,31,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,22,0,4,8,35,50,73,76,45,6,8,15,11,6,7,13,359,0,0,3,0,6,0,10,0,0,0,0,0,0,0,0,22,0,0,0,5,4,7,10,9,5,12,7,21,8,3,3,101
