POA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
POA2000,0,50,0,50,..,2167,1137,3307,14,3316,..,66,0,66,0,66,..,434,32,469,0,469,..,485,72,556,12,569,..,13501,3270,16778,84,16861,..,194,88,280,2048,2331,8750,13698,3358,17056,2132,27936
POA2007,0,34,0,34,..,340,167,507,0,508,..,42,5,47,0,47,..,106,13,123,0,122,..,148,19,164,11,170,..,3451,815,4267,29,4296,..,25,10,41,517,559,2560,3479,828,4304,550,7410
POA2008,0,23,0,23,..,182,57,241,0,240,..,29,0,28,0,28,..,150,19,171,7,178,..,200,15,216,5,217,..,4430,443,4866,14,4884,..,31,12,43,772,817,4700,4462,453,4918,788,10400
POA2009,0,37,5,42,..,242,81,326,3,325,..,40,6,46,0,46,..,164,20,185,0,185,..,249,30,279,8,285,..,4337,663,4996,51,5051,..,46,11,53,897,954,6657,4382,672,5059,944,12658
POA2010,0,42,0,41,..,419,210,630,0,631,..,61,4,63,0,64,..,204,30,234,0,235,..,517,46,561,10,570,..,5342,876,6219,36,6252,..,96,11,107,1893,2003,18191,5438,888,6326,1930,26443
POA2011,0,15,0,15,..,85,33,116,0,116,..,38,15,52,0,52,..,81,27,107,0,107,..,300,16,315,5,318,..,3022,264,3288,19,3308,..,59,6,70,1681,1748,13130,3085,269,3355,1700,18187
POA2015,0,26,0,26,..,71,6,80,0,84,..,22,0,25,0,25,..,102,28,126,0,130,..,211,22,235,7,242,..,2277,219,2492,30,2523,..,37,5,47,523,566,8338,2316,221,2536,551,11422
POA2016,0,22,0,22,..,93,52,146,0,146,..,40,9,47,3,53,..,82,20,102,0,102,..,292,27,317,5,322,..,2777,677,3456,32,3493,..,52,12,64,1016,1075,8502,2833,689,3520,1051,13072
POA2017,0,45,0,45,..,166,35,201,0,200,..,73,13,87,0,87,..,235,84,322,6,323,..,715,151,865,17,879,..,10770,1864,12638,111,12749,..,116,28,144,1915,2060,14194,10887,1894,12783,2028,29003
POA2018,0,26,4,34,..,89,32,116,3,119,..,284,103,388,6,393,..,110,23,136,0,136,..,569,107,673,24,695,..,8008,1424,9430,97,9534,..,116,25,141,1015,1156,9185,8122,1453,9578,1113,19878
POA2019,0,16,0,16,..,22,4,25,0,25,..,35,4,47,0,47,..,59,3,59,0,59,..,332,31,364,8,371,..,3006,377,3384,31,3411,..,53,3,55,747,803,9250,3059,383,3441,777,13467
POA2020,4,112,0,114,..,282,71,356,9,361,..,185,28,218,0,220,..,290,27,320,4,324,..,732,277,1002,26,1031,..,10516,1497,12011,102,12113,..,165,64,226,1076,1297,8186,10676,1559,12235,1175,21591
POA2021,0,7,0,14,..,57,14,72,0,72,..,6,0,6,0,6,..,41,4,43,0,43,..,213,20,230,3,239,..,1803,130,1928,22,1948,..,31,0,32,676,709,12284,1831,131,1960,703,14946
POA2022,0,8,0,8,..,30,10,40,0,40,..,20,5,18,0,18,..,45,7,51,0,51,..,386,23,411,3,419,..,3123,313,3439,25,3463,..,45,5,55,817,867,9177,3167,320,3488,840,13509
POA2023,0,0,0,0,..,14,0,14,0,14,..,6,6,4,0,4,..,24,0,20,0,20,..,293,17,304,4,314,..,1648,145,1795,18,1806,..,47,0,49,385,432,8346,1694,143,1844,402,10590
POA2024,0,0,0,0,..,21,0,21,0,21,..,7,0,10,0,10,..,17,0,18,0,18,..,213,7,221,5,220,..,1539,125,1662,9,1679,..,38,0,37,672,712,8987,1583,124,1706,686,11380
POA2025,0,11,0,11,..,15,0,15,0,10,..,12,0,12,0,12,..,26,0,27,0,27,..,127,12,140,0,142,..,982,81,1061,14,1074,..,23,0,26,354,384,5723,1005,85,1087,370,7189
POA2026,0,9,0,11,..,45,18,60,0,60,..,37,4,43,0,43,..,33,4,38,0,38,..,1092,52,1147,23,1165,..,6225,455,6684,63,6748,..,144,8,151,1897,2046,23903,6370,464,6829,1961,32693
POA2027,0,0,0,0,..,25,3,24,0,24,..,16,0,16,0,16,..,23,0,22,0,22,..,110,7,115,0,115,..,1119,76,1193,15,1209,..,18,0,22,463,476,6120,1139,76,1214,472,7810
POA2028,0,7,0,7,..,10,0,10,0,10,..,11,0,11,0,11,..,11,4,17,0,17,..,103,3,108,0,109,..,710,53,770,8,778,..,16,0,16,191,211,3728,730,53,785,195,4709
POA2029,0,7,0,7,..,19,4,21,0,21,..,15,4,18,0,21,..,12,0,12,0,12,..,351,30,381,3,381,..,1767,168,1933,13,1955,..,42,0,44,528,566,7388,1811,167,1982,544,9911
POA2030,0,0,0,0,..,12,0,11,0,11,..,34,0,36,0,36,..,13,0,15,0,15,..,478,15,492,6,502,..,2530,225,2758,21,2779,..,34,0,38,601,639,11016,2567,228,2798,622,14434
POA2031,0,36,0,39,..,98,29,122,0,121,..,30,0,33,0,33,..,104,11,118,0,113,..,719,41,755,14,772,..,6047,494,6536,66,6605,..,94,7,97,1680,1778,25440,6138,500,6633,1752,33830
POA2032,0,62,0,62,..,101,27,129,0,129,..,41,14,52,0,52,..,122,16,139,8,143,..,365,34,396,6,404,..,5337,858,6198,45,6245,..,65,17,79,699,773,7622,5399,876,6272,750,14643
POA2033,0,70,0,70,..,97,13,108,0,108,..,35,4,32,0,32,..,113,14,127,0,127,..,239,20,260,7,261,..,4164,423,4584,29,4615,..,50,12,59,650,707,6606,4208,430,4641,675,11927
POA2034,0,5,0,5,..,24,4,26,0,26,..,45,10,49,0,51,..,47,3,48,0,48,..,411,41,448,13,457,..,3271,312,3581,30,3614,..,76,3,83,999,1076,15557,3343,318,3659,1025,20249
POA2035,5,25,0,25,..,104,20,123,0,126,..,52,13,68,0,68,..,127,23,154,0,154,..,792,108,893,19,915,..,10374,1522,11891,74,11968,..,180,33,206,1573,1782,20856,10552,1554,12106,1644,34602
POA2036,0,31,0,31,..,93,15,103,0,105,..,133,32,159,0,164,..,110,29,133,0,133,..,1117,148,1263,24,1293,..,9024,1297,10327,104,10434,..,208,26,236,2778,3015,20316,9234,1327,10562,2879,33767
POA2037,0,19,0,20,..,90,26,119,0,119,..,33,11,39,0,39,..,228,134,362,3,363,..,373,40,412,18,423,..,3611,528,4143,39,4188,..,77,8,87,942,1032,11427,3689,546,4234,985,16641
POA2038,0,11,5,9,..,39,8,46,0,46,..,17,0,17,0,17,..,47,6,53,0,53,..,123,11,131,3,133,..,1146,140,1290,15,1305,..,30,8,42,467,508,7675,1181,154,1334,482,9487
POA2039,0,13,0,13,..,23,4,28,3,33,..,18,0,26,0,26,..,26,0,27,0,27,..,153,16,173,3,172,..,1037,109,1149,10,1160,..,25,3,31,235,269,7127,1062,114,1180,251,8553
POA2040,4,18,0,20,..,68,13,80,0,80,..,55,7,56,0,61,..,106,29,132,0,132,..,397,21,424,8,438,..,3683,501,4184,59,4245,..,92,10,95,885,982,17580,3769,506,4278,946,22803
POA2041,0,5,0,5,..,24,3,30,0,30,..,25,6,25,0,25,..,43,12,55,6,56,..,213,18,231,0,237,..,1609,167,1769,24,1792,..,36,0,41,588,624,13166,1637,170,1806,610,15584
POA2042,0,22,0,22,..,119,48,165,4,167,..,40,7,48,0,48,..,134,48,181,0,184,..,296,25,323,9,328,..,2836,375,3213,23,3241,..,56,10,68,858,927,14508,2892,385,3279,882,18673
POA2043,0,12,0,12,..,33,9,33,0,33,..,36,0,36,0,36,..,58,21,74,0,74,..,172,8,182,4,188,..,1730,151,1881,16,1903,..,34,4,36,332,362,7394,1762,156,1920,347,9657
POA2044,0,9,0,9,..,73,27,106,0,106,..,13,6,13,0,13,..,187,72,264,0,262,..,175,15,189,8,191,..,1751,421,2173,20,2190,..,30,10,40,268,311,5771,1784,426,2213,290,8278
POA2045,0,7,0,7,..,17,9,21,0,21,..,10,0,10,0,10,..,33,8,36,0,40,..,42,8,45,0,47,..,1444,292,1737,7,1745,..,18,5,22,135,158,4580,1460,296,1755,143,6480
POA2046,0,29,0,29,..,89,20,107,0,107,..,116,10,121,3,123,..,173,29,203,5,213,..,372,44,408,12,426,..,6915,1136,8052,65,8116,..,78,17,92,1017,1108,18057,6988,1149,8140,1085,27288
POA2047,4,23,0,23,..,24,8,35,0,35,..,62,9,74,0,73,..,61,13,74,0,74,..,178,21,198,9,209,..,2263,307,2571,33,2603,..,32,10,40,508,546,8861,2297,316,2613,539,12011
POA2048,0,18,0,17,..,31,3,33,0,33,..,7,4,13,0,13,..,78,22,97,0,96,..,89,7,96,0,98,..,1245,205,1444,19,1462,..,16,6,24,280,307,5847,1263,206,1470,301,7619
POA2049,0,12,0,12,..,38,11,51,0,51,..,19,0,21,0,24,..,95,34,138,5,138,..,227,11,242,12,250,..,2153,370,2525,28,2555,..,38,6,50,645,691,9014,2194,378,2572,672,12258
POA2050,0,19,0,19,..,29,5,36,0,36,..,29,0,29,0,29,..,54,11,65,0,69,..,137,9,148,7,154,..,1792,149,1936,16,1950,..,26,0,33,536,567,6863,1819,148,1966,554,9381
POA2060,0,61,0,61,..,84,20,96,0,100,..,24,0,23,0,23,..,59,5,67,0,67,..,293,26,319,9,326,..,3742,293,4032,44,4074,..,46,0,45,785,838,10222,3784,300,4080,828,15135
POA2061,0,25,0,25,..,24,3,28,0,28,..,11,0,15,0,15,..,18,4,23,0,23,..,99,7,103,0,103,..,1340,210,1551,6,1562,..,12,0,12,470,481,4113,1355,210,1567,473,6158
POA2062,0,16,0,16,..,27,8,35,0,35,..,9,0,9,0,9,..,9,0,10,0,15,..,123,9,141,10,145,..,1124,97,1222,26,1240,..,23,3,26,180,210,5635,1143,105,1250,203,7088
POA2063,0,3,0,3,..,8,5,14,0,14,..,0,0,0,0,0,..,10,7,12,0,12,..,99,7,106,3,107,..,1159,149,1311,4,1319,..,13,3,14,189,208,4968,1173,152,1326,195,6493
