POA_CODE_2021,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
POA2000,0,312,23,339,16,333,26,373,5,280,18,301,6,1516,163,1681,24,4781,454,5258,27,2598,234,2856,17,1166,112,1297,16,908,84,1009,36,623,43,702,38,255,24,316,35,48,7,88,216,12819,1188,14223,4,331,25,357,5,320,29,352,3,285,17,308,9,1590,150,1745,10,4991,422,5424,16,2364,195,2570,13,1000,88,1100,32,790,41,860,47,521,38,604,55,220,28,309,34,41,7,79,219,12461,1030,13713,3,651,46,694,16,655,47,725,9,569,42,610,11,3111,313,3429,33,9770,878,10684,43,4966,424,5424,29,2166,199,2398,45,1702,127,1872,85,1143,80,1310,96,477,53,625,66,84,14,165,437,25283,2219,27936
POA2007,0,104,13,113,5,100,14,121,0,95,12,116,0,577,51,627,9,1261,87,1356,5,632,58,688,3,299,17,322,6,175,18,194,13,133,11,155,11,38,4,59,5,12,8,23,60,3420,284,3763,0,98,3,101,4,133,16,141,0,134,16,149,6,585,46,642,5,1208,85,1303,0,549,38,590,4,266,18,288,4,166,22,194,21,109,8,140,13,43,6,64,21,5,10,31,81,3285,276,3644,0,199,15,219,4,231,24,266,0,232,32,265,7,1158,98,1261,11,2470,170,2654,11,1181,92,1281,7,561,33,600,17,336,42,389,34,242,25,292,31,80,13,122,28,17,16,56,148,6710,555,7410
POA2008,0,108,5,119,11,96,0,103,0,202,18,220,7,1097,109,1212,6,1808,157,1967,10,715,65,789,7,353,26,389,5,259,19,282,12,152,16,181,9,34,0,43,5,4,0,12,63,4828,427,5315,0,89,4,90,0,91,3,98,0,246,12,262,0,1325,122,1449,12,1725,152,1889,9,535,48,595,6,270,19,295,9,201,21,225,8,89,12,115,17,39,0,54,4,8,0,9,69,4622,402,5083,0,200,14,213,6,184,7,205,6,443,31,480,7,2423,233,2662,19,3541,304,3861,15,1253,111,1384,13,625,48,686,14,450,43,504,21,247,24,295,23,75,8,97,9,11,4,25,134,9444,828,10400
POA2009,3,281,25,312,12,298,34,349,3,142,8,152,5,331,35,369,4,1486,133,1620,8,1249,105,1365,7,686,57,751,17,584,53,647,27,463,50,532,28,187,16,235,22,19,5,49,138,5726,523,6391,3,269,31,298,0,308,26,335,6,137,0,142,4,315,21,342,14,1434,127,1574,16,1226,101,1343,15,670,50,736,36,597,38,675,33,482,39,552,39,162,13,218,21,23,3,51,189,5626,454,6267,7,554,53,612,14,610,62,684,11,278,8,296,5,640,56,708,17,2922,257,3197,24,2477,211,2708,26,1354,106,1489,48,1183,93,1325,54,942,91,1087,66,350,31,447,48,42,13,98,323,11354,979,12658
POA2010,0,306,21,330,12,379,33,422,5,150,11,172,3,882,75,964,16,4285,362,4665,31,2943,251,3223,50,2014,186,2246,80,1528,159,1766,81,801,81,968,104,307,54,462,62,68,11,138,448,13650,1258,15356,0,262,19,282,0,368,32,402,0,182,17,200,3,948,75,1027,17,3506,249,3768,17,1870,131,2019,30,1048,95,1172,36,837,66,943,71,578,38,685,93,267,36,402,107,62,24,188,383,9928,774,11082,6,571,36,609,16,740,67,825,7,335,31,369,8,1829,155,1987,31,7789,611,8431,52,4811,382,5247,80,3060,280,3422,121,2366,220,2706,155,1379,117,1653,197,574,91,863,171,129,34,330,832,23584,2030,26443
POA2011,0,160,17,178,6,183,16,207,4,83,13,101,5,388,117,505,13,2443,304,2759,12,1811,176,2005,34,1242,137,1413,43,1042,78,1164,46,721,60,832,66,337,47,445,52,74,20,152,282,8479,994,9758,0,157,17,177,6,173,26,208,4,105,33,141,4,408,87,492,12,2206,229,2449,21,1322,109,1458,23,930,68,1021,37,854,71,963,47,722,47,825,73,303,52,426,128,86,59,271,359,7265,797,8424,4,320,35,350,13,358,44,416,5,189,50,246,7,793,200,998,25,4648,534,5205,34,3141,288,3462,59,2172,204,2440,78,1890,151,2119,96,1441,109,1651,138,640,95,872,181,160,79,418,644,15750,1796,18187
POA2015,6,295,7,308,9,346,23,376,4,107,4,119,3,312,19,337,9,1748,103,1862,8,1216,70,1291,8,767,29,798,15,438,23,470,11,216,17,239,16,56,11,83,8,13,0,21,98,5506,303,5906,0,261,3,268,4,331,13,348,4,109,7,118,0,361,28,393,11,1671,95,1774,10,1112,47,1168,13,610,31,658,10,380,20,414,20,222,11,254,32,60,6,98,12,16,3,24,119,5131,266,5515,3,554,14,578,15,678,37,731,5,211,12,236,7,674,46,727,21,3419,198,3634,15,2325,121,2464,21,1377,62,1455,26,817,40,884,29,439,24,493,49,117,19,179,13,28,7,44,217,10633,572,11422
POA2016,0,212,5,219,13,274,28,313,6,112,7,129,5,475,37,518,10,1741,149,1900,21,1141,110,1267,32,912,108,1050,53,725,73,843,51,422,59,532,71,154,30,264,35,38,14,92,295,6208,621,7123,0,222,7,238,8,271,23,302,0,118,7,126,3,517,38,558,9,1560,107,1679,18,916,82,1023,29,535,34,597,36,472,44,547,54,349,41,449,79,174,53,308,62,43,21,124,294,5173,466,5943,3,436,16,453,25,545,50,617,8,234,18,257,9,991,72,1072,20,3302,260,3578,38,2057,189,2286,54,1451,140,1649,88,1194,115,1391,104,770,98,978,154,332,83,569,99,80,40,211,592,11387,1091,13072
POA2017,6,596,25,638,20,451,53,519,6,244,18,269,9,1594,124,1723,19,5329,380,5731,38,2815,191,3039,55,1170,117,1338,57,786,109,956,100,504,72,667,69,214,59,344,52,39,19,106,425,13748,1162,15333,0,575,42,622,14,464,43,518,0,271,22,298,8,1627,118,1754,22,5085,349,5456,32,2052,137,2223,28,842,63,931,74,696,53,826,94,489,48,628,102,160,32,292,69,40,21,132,450,12289,931,13669,10,1174,71,1252,34,910,95,1041,9,514,45,564,14,3222,243,3481,48,10412,729,11184,67,4865,326,5261,79,2013,179,2272,138,1482,162,1779,191,990,119,1293,175,374,88,634,116,81,36,233,875,26038,2089,29003
POA2018,6,554,46,607,32,686,45,759,11,368,30,401,5,777,58,832,12,2310,165,2486,16,1537,101,1649,43,1061,70,1170,41,743,47,838,69,531,30,632,108,301,29,432,82,48,15,140,420,8909,625,9958,3,516,26,546,15,663,52,728,4,354,23,379,7,767,49,823,14,2276,135,2422,30,1499,95,1620,28,989,53,1068,52,783,52,887,95,606,36,731,158,339,32,525,127,57,17,194,526,8847,550,9919,10,1068,67,1150,46,1349,93,1487,14,721,50,789,10,1543,105,1660,31,4583,298,4905,39,3027,196,3264,70,2047,124,2238,101,1533,96,1724,161,1132,68,1359,265,642,55,959,203,104,29,339,945,17755,1178,19878
