POA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
POA2000,413,218,95,49,68,45,22,912,15,11,4,7,12,0,0,54,72,38,9,5,17,4,0,152,56,22,16,5,13,7,5,132,4,0,0,0,0,0,0,10,566,300,126,67,107,61,26,1256,42,58,30,30,52,49,24,282,3,0,0,0,0,4,3,9,11,10,4,4,0,4,0,35,4,9,0,6,8,3,3,33,5,0,0,0,0,0,0,6,65,72,36,39,63,54,32,362,629,371,159,102,171,122,63,1618
POA2007,119,89,29,9,15,18,15,283,8,12,0,0,0,0,0,26,25,13,6,3,3,4,0,54,16,11,5,5,0,0,0,47,0,0,0,0,0,0,0,0,166,127,42,19,15,19,16,406,11,14,4,6,16,6,6,75,0,4,0,0,0,0,0,4,3,4,0,0,0,0,0,11,8,4,3,0,0,4,0,19,0,0,0,0,5,0,0,4,27,33,7,12,17,15,6,125,194,154,49,32,38,33,22,529
POA2008,64,36,11,4,7,6,5,146,12,19,0,3,0,0,0,44,48,14,4,3,0,5,0,75,41,17,13,12,10,4,0,101,0,0,0,0,0,0,0,0,174,82,34,21,27,21,7,370,10,10,0,9,10,15,7,58,0,3,3,4,4,3,0,18,0,3,0,0,0,3,0,10,0,8,4,0,0,7,3,22,0,0,0,0,0,0,0,0,18,23,11,13,23,17,11,118,185,106,41,33,53,45,19,482
POA2009,287,149,74,52,52,31,10,646,46,16,8,5,9,9,0,103,92,44,18,11,11,6,0,190,74,48,21,12,13,10,7,182,4,0,0,0,0,0,0,11,504,255,123,81,89,50,23,1133,26,29,16,17,21,22,19,148,5,7,5,6,7,0,0,32,4,6,6,0,5,0,0,27,22,31,14,10,24,12,5,123,6,0,0,0,0,0,0,4,63,76,44,32,59,39,28,330,564,329,170,112,144,93,50,1462
POA2010,167,101,52,30,26,15,9,400,74,46,27,7,10,5,0,175,87,58,23,17,15,6,5,207,180,96,59,34,41,26,9,437,0,5,0,0,0,0,0,5,506,306,155,89,94,49,29,1228,9,27,14,8,8,9,10,78,3,17,11,5,8,5,0,62,3,12,8,3,3,4,3,41,21,24,22,15,18,8,5,116,5,0,0,0,0,0,0,11,38,76,63,30,42,29,25,307,548,390,216,114,133,82,49,1538
POA2011,74,49,17,8,8,6,0,159,55,22,9,0,4,5,0,96,42,19,8,12,5,3,3,95,109,64,32,3,14,5,5,228,0,0,0,0,0,0,0,0,276,151,63,28,38,15,9,583,15,5,7,8,5,7,6,49,3,9,14,6,6,0,4,46,8,10,5,4,4,3,4,24,15,10,19,13,13,8,5,79,0,0,0,0,0,0,0,0,34,34,42,31,31,18,18,207,310,187,107,56,75,34,22,790
POA2015,133,122,50,13,28,16,3,370,113,46,21,9,18,8,0,222,82,54,23,6,7,0,0,175,178,115,61,37,29,12,10,445,0,0,0,0,0,0,0,5,515,340,152,68,91,39,18,1215,3,8,8,6,11,13,12,64,0,6,13,3,11,6,0,40,5,12,0,0,7,0,3,31,17,26,18,9,8,7,4,84,3,3,3,0,0,0,0,6,32,57,37,23,38,22,21,227,548,391,192,91,128,62,34,1442
POA2016,99,77,29,14,15,12,6,253,69,52,26,10,8,9,0,170,64,44,7,11,6,9,3,151,147,81,42,41,32,12,7,361,0,0,0,0,0,0,0,0,380,254,102,74,69,39,14,941,9,3,10,5,3,4,3,54,11,6,4,3,5,0,6,34,0,4,3,3,3,5,0,17,16,31,20,10,11,3,0,94,0,0,0,5,0,0,0,8,44,54,34,26,27,11,12,211,422,305,141,100,96,57,28,1146
POA2017,649,280,102,45,52,32,30,1187,106,33,10,8,8,0,0,164,123,41,11,5,5,3,0,199,169,61,26,18,25,10,4,321,3,3,0,0,0,0,0,8,1051,429,149,77,96,48,35,1883,47,37,32,30,28,37,36,245,24,17,6,10,12,0,5,73,14,14,15,3,8,3,6,62,34,60,37,17,16,10,0,177,3,3,3,3,0,0,0,19,124,136,84,68,64,46,48,571,1175,557,237,146,153,93,83,2449
POA2018,559,327,175,90,148,92,58,1445,102,70,39,21,33,11,12,288,100,73,42,23,32,11,11,293,227,149,102,61,87,59,27,708,5,4,4,3,0,0,0,13,987,634,362,197,290,173,112,2752,30,41,18,7,43,28,16,183,15,18,11,9,17,10,0,77,13,14,8,0,12,7,8,63,34,36,28,12,25,19,5,163,0,0,0,0,0,0,0,0,86,106,74,36,89,59,36,498,1075,739,437,235,383,230,149,3247
