SA2_CODE_2021,A25_34_UOLSE_T_11_15,A25_34_UOLSE_T_16,A25_34_UOLSE_T_17,A25_34_UOLSE_T_18,A25_34_UOLSE_T_19,A25_34_UOLSE_T_20,A25_34_UOLSE_T_21,A25_34_UOLSE_T_YNS,A25_34_UOLSE_T_T,A25_34_L_PinE_NS_B_05,A25_34_L_PinE_NS_05_10,A25_34_L_PinE_NS_11_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_17,A25_34_L_PinE_NS_18,A25_34_L_PinE_NS_19,A25_34_L_PinE_NS_20,A25_34_L_PinE_NS_21,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B_05,A25_34_T_05_10,A25_34_T_11_15,A25_34_T_16,A25_34_T_17,A25_34_T_18,A25_34_T_19,A25_34_T_20,A25_34_T_21,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B_05,A35_44_SEO_05_10,A35_44_SEO_11_15,A35_44_SEO_16,A35_44_SEO_17,A35_44_SEO_18,A35_44_SEO_19,A35_44_SEO_20,A35_44_SEO_21,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_UOLSE_VWW_B_05,A35_44_UOLSE_VWW_05_10,A35_44_UOLSE_VWW_11_15,A35_44_UOLSE_VWW_16,A35_44_UOLSE_VWW_17,A35_44_UOLSE_VWW_18,A35_44_UOLSE_VWW_19,A35_44_UOLSE_VWW_20,A35_44_UOLSE_VWW_21,A35_44_UOLSE_VWW_YNS,A35_44_UOLSE_VWW_T,A35_44_UOLSE_NWNAA_B_05,A35_44_UOLSE_NWNAA_05_10,A35_44_UOLSE_NWNAA_11_15,A35_44_UOLSE_NWNAA_16,A35_44_UOLSE_NWNAA_17,A35_44_UOLSE_NWNAA_18,A35_44_UOLSE_NWNAA_19,A35_44_UOLSE_NWNAA_20,A35_44_UOLSE_NWNAA_21,A35_44_UOLSE_NWNAA_YNS,A35_44_UOLSE_NWNAA_T,A35_44_UOLSE_PinE_NS_B_05,A35_44_UOLSE_PinE_NS_05_10,A35_44_UOLSE_PinE_NS_11_15,A35_44_UOLSE_PinE_NS_16,A35_44_UOLSE_PinE_NS_17,A35_44_UOLSE_PinE_NS_18,A35_44_UOLSE_PinE_NS_19,A35_44_UOLSE_PinE_NS_20,A35_44_UOLSE_PinE_NS_21,A35_44_UOLSE_PinE_NS_YNS,A35_44_UOLSE_PinE_NS_T,A35_44_UOLSE_T_B_05,A35_44_UOLSE_T_05_10,A35_44_UOLSE_T_11_15,A35_44_UOLSE_T_16,A35_44_UOLSE_T_17,A35_44_UOLSE_T_18,A35_44_UOLSE_T_19,A35_44_UOLSE_T_20,A35_44_UOLSE_T_21,A35_44_UOLSE_T_YNS,A35_44_UOLSE_T_T,A35_44_L_PinE_NS_B_05,A35_44_L_PinE_NS_05_10,A35_44_L_PinE_NS_11_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_17,A35_44_L_PinE_NS_18,A35_44_L_PinE_NS_19,A35_44_L_PinE_NS_20,A35_44_L_PinE_NS_21,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B_05,A35_44_T_05_10,A35_44_T_11_15,A35_44_T_16,A35_44_T_17,A35_44_T_18,A35_44_T_19,A35_44_T_20,A35_44_T_21,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B_05,A45_54_SEO_05_10,A45_54_SEO_11_15,A45_54_SEO_16,A45_54_SEO_17,A45_54_SEO_18,A45_54_SEO_19,A45_54_SEO_20,A45_54_SEO_21,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_UOLSE_VWW_B_05,A45_54_UOLSE_VWW_05_10,A45_54_UOLSE_VWW_11_15,A45_54_UOLSE_VWW_16,A45_54_UOLSE_VWW_17,A45_54_UOLSE_VWW_18,A45_54_UOLSE_VWW_19,A45_54_UOLSE_VWW_20,A45_54_UOLSE_VWW_21,A45_54_UOLSE_VWW_YNS,A45_54_UOLSE_VWW_T,A45_54_UOLSE_NWNAA_B_05,A45_54_UOLSE_NWNAA_05_10,A45_54_UOLSE_NWNAA_11_15,A45_54_UOLSE_NWNAA_16,A45_54_UOLSE_NWNAA_17,A45_54_UOLSE_NWNAA_18,A45_54_UOLSE_NWNAA_19,A45_54_UOLSE_NWNAA_20,A45_54_UOLSE_NWNAA_21,A45_54_UOLSE_NWNAA_YNS,A45_54_UOLSE_NWNAA_T,A45_54_UOLSE_PinE_NS_B_05,A45_54_UOLSE_PinE_NS_05_10,A45_54_UOLSE_PinE_NS_11_15,A45_54_UOLSE_PinE_NS_16,A45_54_UOLSE_PinE_NS_17,A45_54_UOLSE_PinE_NS_18,A45_54_UOLSE_PinE_NS_19,A45_54_UOLSE_PinE_NS_20,A45_54_UOLSE_PinE_NS_21,A45_54_UOLSE_PinE_NS_YNS,A45_54_UOLSE_PinE_NS_T,A45_54_UOLSE_T_B_05,A45_54_UOLSE_T_05_10,A45_54_UOLSE_T_11_15,A45_54_UOLSE_T_16,A45_54_UOLSE_T_17,A45_54_UOLSE_T_18,A45_54_UOLSE_T_19,A45_54_UOLSE_T_20,A45_54_UOLSE_T_21,A45_54_UOLSE_T_YNS,A45_54_UOLSE_T_T,A45_54_L_PinE_NS_B_05,A45_54_L_PinE_NS_05_10,A45_54_L_PinE_NS_11_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_17,A45_54_L_PinE_NS_18,A45_54_L_PinE_NS_19,A45_54_L_PinE_NS_20,A45_54_L_PinE_NS_21,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B_05,A45_54_T_05_10,A45_54_T_11_15,A45_54_T_16,A45_54_T_17,A45_54_T_18,A45_54_T_19,A45_54_T_20,A45_54_T_21,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B_05,A55_64_SEO_05_10,A55_64_SEO_11_15,A55_64_SEO_16,A55_64_SEO_17,A55_64_SEO_18,A55_64_SEO_19,A55_64_SEO_20,A55_64_SEO_21,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_UOLSE_VWW_B_05,A55_64_UOLSE_VWW_05_10,A55_64_UOLSE_VWW_11_15,A55_64_UOLSE_VWW_16
101021007,0,0,0,5,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,7,4,6,8,3,7,4,0,0,0,33,17,12,3,0,0,0,0,0,0,0,26,6,6,6,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,16,12,0,0,0,0,0,0,0,52,56,3,0,0,0,0,0,0,0,0,66,10,0,4,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,4,4,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,62,4,0,0,0,0,0,0,0,0,80,99,8,0,0,0,0,0,0,0,4,115,16,0,4,0
101021008,42,22,22,23,11,8,0,3,157,0,0,0,0,0,0,0,0,0,0,0,40,31,63,24,22,23,14,3,0,7,230,42,7,5,0,0,3,0,0,0,0,59,39,47,31,0,4,0,4,0,0,3,138,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,39,47,30,7,4,0,4,0,0,3,143,0,0,0,0,0,0,0,0,0,0,0,78,54,36,7,4,3,7,0,0,3,201,91,14,3,0,0,0,0,0,0,5,105,62,24,6,5,0,0,0,0,0,5,102,10,8,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,71,26,5,5,0,0,0,0,0,7,118,0,0,0,0,0,0,0,0,0,0,0,152,44,12,5,3,0,6,0,0,12,226,118,3,7,0,0,0,0,0,0,3,133,90,8,9,0
101021009,239,112,143,106,59,13,0,6,786,0,0,0,0,0,0,0,0,0,0,0,65,104,265,118,152,109,68,18,0,7,905,59,27,22,7,5,3,0,0,0,3,125,43,129,122,21,32,15,14,6,3,0,391,0,0,0,3,5,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,44,133,126,25,33,16,14,6,3,0,403,0,0,0,0,0,0,0,0,0,0,0,105,164,141,35,33,25,21,6,5,4,532,107,13,10,0,0,0,4,3,0,0,134,54,52,29,0,3,0,4,0,0,0,156,0,4,7,0,3,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,59,58,36,0,10,3,4,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,161,65,41,5,10,3,3,4,0,3,302,146,9,0,0,0,0,0,0,0,4,161,86,13,4,0
101021010,79,26,40,51,27,7,0,0,264,0,0,0,0,0,0,0,0,0,0,0,41,29,87,24,40,51,33,11,0,0,317,39,16,6,7,6,0,0,0,0,0,74,14,63,49,14,12,17,10,0,0,0,183,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,12,66,48,16,12,17,10,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,54,85,64,14,16,18,13,0,0,3,261,42,20,7,0,0,0,0,0,0,0,76,31,34,15,0,0,0,0,0,0,0,90,5,3,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,36,40,20,3,0,0,3,0,0,4,100,0,0,0,0,0,0,0,0,0,0,0,78,59,25,3,0,0,5,0,0,3,177,68,12,3,0,0,0,0,0,0,3,84,36,4,4,0
101021012,48,14,8,16,15,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,63,42,59,20,17,16,22,4,0,3,242,101,27,21,7,0,0,7,0,0,0,165,86,80,46,5,8,11,3,0,0,0,249,0,0,4,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,86,84,47,5,8,16,3,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,192,111,69,11,12,17,8,6,0,0,419,192,29,18,0,0,0,0,0,3,5,251,112,26,18,0,3,0,0,0,0,6,162,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,118,26,16,0,3,0,0,0,0,6,164,0,0,0,0,0,0,0,0,0,0,0,310,55,35,0,4,0,0,0,5,4,412,244,12,4,0,0,0,0,0,0,0,266,127,6,4,0
101021610,59,16,11,6,7,0,0,4,173,0,0,0,0,0,0,0,0,0,0,0,56,59,71,16,13,14,7,0,0,9,245,61,24,15,6,10,3,0,0,0,3,112,55,107,73,5,0,0,0,0,0,4,252,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,55,110,73,8,0,0,0,0,0,4,255,0,0,0,0,0,0,0,0,0,0,0,117,132,94,9,9,3,0,0,0,11,369,62,19,10,0,0,0,0,0,0,3,101,35,39,26,5,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,45,26,5,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,101,64,40,7,0,0,3,0,0,3,215,46,4,8,0,0,0,0,0,0,0,60,22,7,3,0
101021611,12,6,0,3,6,0,0,4,47,0,0,0,0,0,0,0,0,0,0,0,59,20,21,8,4,7,7,0,0,3,132,93,25,33,0,0,5,0,0,0,5,161,25,40,11,0,0,0,3,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,40,11,0,0,0,3,3,0,0,84,0,0,0,0,0,0,0,0,0,0,0,117,65,43,0,0,5,7,3,0,5,242,248,35,23,0,0,0,0,0,0,6,317,58,8,8,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,57,8,8,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,310,37,28,0,0,0,0,0,0,6,393,382,21,11,0,0,0,0,0,0,9,431,50,5,0,0
101031013,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,14,7,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,18,13,0,0,0,0,0,0,0,0,0,20,5,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,6,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,18,5,5,3,0,0,0,0,0,0,34,29,0,0,0,0,0,0,0,0,5,34,0,0,0,0
101031014,12,7,13,10,8,8,3,0,89,0,0,0,0,0,0,0,0,0,9,9,20,14,16,5,11,16,8,13,4,8,134,22,11,5,0,3,0,0,5,0,0,44,7,20,21,6,13,6,14,8,9,0,112,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,7,18,21,6,13,6,16,8,11,3,114,0,0,0,0,0,0,0,0,0,10,10,33,29,26,6,17,6,15,14,12,15,171,56,4,10,0,0,0,4,0,0,0,77,18,13,0,4,0,0,3,4,0,0,47,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,18,13,0,0,0,0,7,5,3,0,52,0,0,0,0,0,0,0,0,0,8,8,77,18,13,4,0,0,11,7,5,11,137,100,0,3,0,0,0,0,0,0,5,111,28,3,0,0
101031015,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,17,12,7,4,0,0,0,0,0,0,0,16,0,0,5,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,11,8,9,0,0,0,5,0,0,0,28,30,12,0,0,0,0,0,0,0,0,40,4,3,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,30,16,0,0,0,0,0,0,0,5,51,72,4,0,0,0,0,0,0,0,4,75,18,0,0,0
