SA2_CODE_2021,MOL_SAL_Filipin_UOLSE_NWorNAA,MOL_SAL_Filipin_UOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_UOLSE_VWorW,MOL_SAL_Indon_UOLSE_NWorNAA,MOL_SAL_Indon_UOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_UOLSE_VWorW,MOL_SAL_Tagalog_UOLSE_NWorNAA,MOL_SAL_Tagalog_UOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_UOLSE_VWorW,MOL_SAL_Oth_UOLSE_NWorNAA,MOL_SAL_Oth_UOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_UOLSE_VWorW,MOL_SAL_Tot_UOLSE_NWorNAA,MOL_SAL_Tot_UOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_UOLSE_VWorW,MOL_Spanish_UOLSE_NWorNAA,MOL_Spanish_UOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_UOLSE_VWorW,MOL_Tamil_UOLSE_NWorNAA,MOL_Tamil_UOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_UOLSE_VWorW,MOL_Thai_UOLSE_NWorNAA,MOL_Thai_UOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_UOLSE_VWorW,MOL_Turkish_UOLSE_NWorNAA,MOL_Turkish_UOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_UOLSE_VWorW,MOL_Vietnamese_UOLSE_NWorNAA,MOL_Vietnamese_UOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_UOLSE_VWorW,MOL_Oth_UOLSE_NWorNAA,MOL_Oth_UOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_UOLSE_VWorW,MOL_Tot_UOLSE_NWorNAA,MOL_Tot_UOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LUatH_NS_SEO,M_LUatH_NS_UOLSE_VWorW,M_LUatH_NS_UOLSE_NWorNAA,M_LUatH_NS_UOLSE_Tot,M_LUatH_NS_NS,M_LUatH_NS_Tot,M_Tot_SEO,M_Tot_UOLSE_VWorW,M_Tot_UOLSE_NWorNAA,M_Tot_UOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_UOLSE_VWorW,FSEO_UOLSE_NWorNAA,FSEO_UOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_UOLSE_VWorW,FOL_Afrikaans_UOLSE_NWorNAA,FOL_Afrikaans_UOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_UOLSE_VWorW,FOL_Arabic_UOLSE_NWorNAA,FOL_Arabic_UOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_UOLSE_VWorW,FOL_AIndLng_UOLSE_NWorNAA,FOL_AIndLng_UOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Canton_SEO,FOL_CL_Canton_UOLSE_VWorW,FOL_CL_Canton_UOLSE_NWorNAA,FOL_CL_Canton_UOLSE_Tot,FOL_CL_Canton_NS,FOL_CL_Canton_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_UOLSE_VWorW,FOL_CL_Mandarin_UOLSE_NWorNAA,FOL_CL_Mandarin_UOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_UOLSE_VWorW,FOL_CL_Oth_UOLSE_NWorNAA,FOL_CL_Oth_UOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_UOLSE_VWorW,FOL_CL_Tot_UOLSE_NWorNAA,FOL_CL_Tot_UOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_UOLSE_VWorW,FOL_Croatian_UOLSE_NWorNAA,FOL_Croatian_UOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_French_SEO,FOL_French_UOLSE_VWorW,FOL_French_UOLSE_NWorNAA,FOL_French_UOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_UOLSE_VWorW,FOL_German_UOLSE_NWorNAA,FOL_German_UOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_UOLSE_VWorW,FOL_Greek_UOLSE_NWorNAA,FOL_Greek_UOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_UOLSE_VWorW,FOL_IAL_Bengali_UOLSE_NWorNAA,FOL_IAL_Bengali_UOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Guj_SEO,FOL_IAL_Guj_UOLSE_VWorW,FOL_IAL_Guj_UOLSE_NWorNAA,FOL_IAL_Guj_UOLSE_Tot,FOL_IAL_Guj_NS,FOL_IAL_Guj_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_UOLSE_VWorW,FOL_IAL_Hindi_UOLSE_NWorNAA,FOL_IAL_Hindi_UOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Nepali_SEO,FOL_IAL_Nepali_UOLSE_VWorW,FOL_IAL_Nepali_UOLSE_NWorNAA,FOL_IAL_Nepali_UOLSE_Tot,FOL_IAL_Nepali_NS,FOL_IAL_Nepali_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_UOLSE_VWorW,FOL_IAL_Punjabi_UOLSE_NWorNAA,FOL_IAL_Punjabi_UOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhal_SEO,FOL_IAL_Sinhal_UOLSE_VWorW,FOL_IAL_Sinhal_UOLSE_NWorNAA,FOL_IAL_Sinhal_UOLSE_Tot,FOL_IAL_Sinhal_NS,FOL_IAL_Sinhal_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_UOLSE_VWorW,FOL_IAL_Urdu_UOLSE_NWorNAA,FOL_IAL_Urdu_UOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_UOLSE_VWorW,FOL_IAL_Oth_UOLSE_NWorNAA,FOL_IAL_Oth_UOLSE_Tot
101021007,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,9,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,23,0,28,0,28,..,95,6,97,0,97,..,8,0,8,188,194,1939,96,6,105,188,2234,1852,..,..,..,..,1852,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,14,0,14,0,14,..,8,0,8,0,8,..,8,0,8,0,8,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
101021008,0,13,0,13,..,0,0,0,0,0,..,12,3,15,0,15,..,0,0,3,0,3,..,25,5,28,0,28,..,7,0,7,0,7,..,7,0,7,0,7,..,5,0,3,0,3,..,0,0,0,0,0,..,10,4,8,0,8,..,86,7,97,0,97,..,506,79,589,0,591,..,20,0,19,243,261,3412,524,83,608,242,4264,3341,..,..,..,..,3341,..,0,0,0,0,0,..,10,0,13,0,13,..,12,0,12,0,12,..,11,4,11,0,11,..,14,3,20,0,20,..,0,0,0,0,0,..,20,6,33,0,33,..,28,3,31,0,31,..,4,0,4,0,4,..,12,0,12,0,12,..,11,3,16,0,16,..,3,0,3,0,3,..,0,0,0,0,0,..,11,0,16,0,16,..,22,4,21,0,21,..,29,0,32,0,37,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0
101021009,0,33,0,33,..,13,6,18,0,18,..,50,0,47,0,52,..,7,0,7,0,7,..,93,9,104,0,103,..,15,0,19,0,19,..,8,0,8,0,8,..,3,0,3,0,3,..,5,0,5,0,5,..,7,0,11,0,11,..,132,24,157,0,160,..,1194,125,1316,12,1329,..,21,3,29,281,309,4071,1218,128,1348,285,5704,4030,..,..,..,..,4030,..,0,0,0,0,0,..,21,3,24,0,26,..,9,0,9,0,9,..,9,4,15,0,15,..,26,3,32,0,34,..,0,0,0,0,0,..,40,3,41,0,43,..,16,8,22,0,22,..,13,0,13,0,13,..,17,0,12,0,12,..,38,14,47,0,47,..,32,6,38,0,38,..,24,0,26,0,26,..,41,4,39,0,40,..,152,5,158,4,166,..,135,8,142,0,148,..,8,0,8,0,8,..,34,11,42,0,43,..,3,0,3
101021010,0,3,0,3,..,3,0,3,0,3,..,16,0,16,0,16,..,7,0,11,0,11,..,28,0,35,0,35,..,15,0,22,0,22,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,58,0,61,0,60,..,498,45,548,9,550,..,6,0,12,138,147,1946,509,44,557,139,2647,1836,..,..,..,..,1836,..,0,0,0,0,0,..,18,0,18,0,18,..,0,0,0,0,0,..,4,0,4,0,4,..,13,4,15,0,17,..,0,0,0,0,0,..,12,4,21,0,17,..,7,7,19,0,19,..,0,0,0,0,0,..,7,0,7,0,5,..,5,0,5,0,5,..,29,0,34,0,34,..,11,3,12,0,12,..,23,3,22,0,22,..,27,0,31,0,32,..,51,3,56,0,56,..,0,0,0,0,0,..,10,0,10,0,10,..,0,0,0
101021012,0,16,0,16,..,12,0,12,0,12,..,14,4,21,0,22,..,4,0,4,0,4,..,45,4,50,0,51,..,18,0,20,0,20,..,8,0,8,0,8,..,3,0,3,0,3,..,14,0,15,0,15,..,10,0,10,0,10,..,77,15,97,0,97,..,727,64,792,6,800,..,33,0,34,180,216,5313,760,69,827,189,6331,5389,..,..,..,..,5389,..,18,0,18,0,18,..,7,0,7,0,7,..,9,0,9,0,9,..,14,0,15,0,15,..,38,7,47,0,48,..,0,0,0,0,0,..,52,7,59,0,60,..,26,3,28,0,28,..,14,0,14,0,14,..,17,0,15,0,15,..,26,0,25,0,24,..,0,0,3,0,3,..,3,0,3,0,3,..,36,0,36,0,36,..,25,0,28,0,28,..,33,3,37,0,37,..,13,0,18,0,18,..,7,0,7,0,7,..,7,0,9
101021610,0,7,0,7,..,0,0,0,0,0,..,20,0,20,0,20,..,10,0,10,0,10,..,40,0,40,0,40,..,7,0,7,0,6,..,15,0,15,0,14,..,4,0,4,0,4,..,3,0,3,0,3,..,13,0,13,0,13,..,46,5,51,0,51,..,507,35,538,9,548,..,5,0,8,108,114,2429,511,34,551,112,3093,2447,..,..,..,..,2447,..,15,0,15,0,15,..,11,4,18,0,18,..,0,0,0,0,0,..,5,0,5,0,5,..,12,4,16,0,16,..,0,0,0,0,0,..,18,4,25,0,25,..,11,0,11,0,11,..,15,0,15,0,15,..,0,0,0,0,0,..,11,0,11,0,11,..,11,0,11,0,11,..,3,0,3,0,3,..,26,4,25,0,25,..,5,0,5,0,5,..,73,7,75,0,80,..,8,0,6,0,6,..,14,0,14,0,14,..,16,0,16
101021611,0,4,0,4,..,6,0,6,0,6,..,4,0,4,0,4,..,0,0,0,0,0,..,12,0,10,0,10,..,27,4,26,0,26,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,67,4,72,0,74,..,354,31,386,5,386,..,18,0,20,462,477,7543,372,30,400,464,8405,7290,..,..,..,..,7290,..,9,0,9,0,9,..,5,0,5,0,5,..,4,0,4,0,4,..,11,4,17,0,17,..,13,0,13,0,17,..,0,0,0,0,0,..,26,4,30,0,35,..,10,3,18,0,18,..,34,0,33,0,33,..,27,0,27,0,27,..,13,0,14,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0
101031013,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,6,0,6,..,33,5,32,0,32,..,0,0,0,106,104,1085,34,5,32,106,1223,1078,..,..,..,..,1078,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
101031014,0,0,0,0,..,8,0,8,0,8,..,11,4,11,0,11,..,5,0,5,0,5,..,25,4,26,0,26,..,11,7,14,0,17,..,3,0,3,0,3,..,9,0,9,0,9,..,0,0,0,0,0,..,3,0,3,0,3,..,47,0,47,4,48,..,268,25,293,5,305,..,7,6,9,383,387,2749,272,33,307,385,3436,2845,..,..,..,..,2845,..,0,0,0,0,0,..,11,4,10,0,14,..,7,0,7,0,7,..,10,0,14,0,14,..,7,5,11,0,11,..,0,0,0,0,0,..,26,6,24,0,24,..,0,0,0,0,0,..,0,0,0,0,0,..,22,0,24,0,24,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,10,..,15,0,20,0,18,..,3,0,6,0,6,..,11,0,9,0,9,..,7,0,15,0,15,..,0,0,0
101031015,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,3,20,0,17,..,62,5,66,0,66,..,4,0,4,152,160,1587,66,6,72,154,1811,1440,..,..,..,..,1440,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,3,5,..,0,0,0,0,0,..,3,0,3,3,5,..,0,0,0,0,0,..,3,0,3,0,3,..,11,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
