SA2_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
101021007,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,24,0,27,0,23,..,77,4,83,0,89,..,12,0,12,170,182,1852,90,4,98,167,2117,3789,..,..,..,..,3789,..,3,0,3,0,3,..,11,0,11,0,11,..,4,0,4,0,4,..,0,4,6,0,6,..,0,0,0,0,0
101021008,0,0,..,72,5,77,0,79,..,60,0,62,0,62,..,6,0,6,0,6,..,0,0,3,0,3,..,6,0,6,0,6,..,92,29,122,0,122,..,0,0,0,0,0,..,6,0,6,0,6,..,8,0,8,0,8,..,11,0,7,0,7,..,4,0,4,0,4,..,8,0,9,0,9,..,26,3,31,0,30,..,20,0,16,0,16,..,4,0,8,0,8,..,23,0,23,0,23,..,6,0,6,0,6,..,51,4,53,0,53,..,8,0,8,0,8,..,4,0,4,0,4,..,16,0,11,0,11,..,0,0,0,0,0,..,13,6,22,0,22,..,78,6,89,0,86,..,557,77,630,5,638,..,19,6,23,250,277,3341,578,85,654,257,4255,6750,..,..,..,..,6750,..,0,0,0,0,0,..,21,0,20,0,20,..,12,0,12,0,12,..,16,11,26,0,26,..,28,10,41,0,44
101021009,0,3,..,432,31,460,7,466,..,55,23,78,0,78,..,9,0,9,0,9,..,3,0,3,0,3,..,12,4,15,0,15,..,91,20,113,0,113,..,10,0,10,0,11,..,6,0,6,0,6,..,6,0,6,0,6,..,8,0,16,0,15,..,4,0,3,0,3,..,5,0,5,0,5,..,25,4,38,0,38,..,37,0,37,0,37,..,12,0,17,0,17,..,69,4,71,0,71,..,7,0,7,0,7,..,126,3,130,0,135,..,17,0,18,0,23,..,13,0,13,0,13,..,17,0,20,0,20,..,0,0,0,0,0,..,9,5,19,0,19,..,134,17,152,5,155,..,1131,145,1272,13,1286,..,24,6,35,289,323,4030,1158,150,1307,303,5638,8097,..,..,..,..,8097,..,3,0,3,0,3,..,44,3,52,4,50,..,14,0,14,0,14,..,18,7,21,0,21,..,50,8,54,3,59
101021010,0,0,..,163,8,174,0,171,..,14,0,13,0,13,..,6,0,6,0,6,..,0,0,0,0,0,..,7,5,7,0,7,..,40,4,45,0,45,..,14,0,19,0,19,..,0,0,0,0,0,..,5,0,5,0,5,..,4,0,5,0,5,..,4,0,4,0,4,..,5,0,5,0,5,..,10,0,16,0,16,..,5,0,5,0,5,..,3,0,3,0,3,..,21,3,22,0,24,..,9,0,6,0,6,..,40,3,45,0,42,..,11,0,11,0,14,..,4,0,4,0,4,..,14,0,14,0,14,..,0,0,0,0,0,..,7,0,3,0,3,..,48,0,48,0,47,..,442,37,485,9,491,..,13,0,13,98,114,1836,457,36,494,103,2440,3788,..,..,..,..,3788,..,0,0,0,0,0,..,21,3,28,0,28,..,8,0,8,0,8,..,3,0,3,0,3,..,20,10,29,0,29
101021012,0,9,..,123,7,129,0,129,..,63,4,69,0,69,..,6,0,6,0,9,..,0,0,0,0,0,..,3,0,3,0,3,..,74,11,86,0,86,..,7,0,6,0,6,..,6,0,6,0,6,..,9,0,9,0,9,..,19,0,21,0,21,..,17,0,19,0,19,..,0,0,0,0,0,..,44,0,44,0,44,..,13,0,13,0,13,..,15,0,15,0,15,..,19,0,19,0,19,..,4,0,4,0,4,..,55,0,55,0,55,..,27,5,28,0,28,..,12,0,12,0,12,..,18,3,18,0,24,..,5,0,5,0,5,..,3,0,3,0,3,..,89,3,99,0,97,..,741,50,793,9,799,..,32,9,35,187,222,5389,771,58,830,190,6413,10701,..,..,..,..,10701,..,33,0,33,0,34,..,22,0,22,0,22,..,13,3,16,0,16,..,26,6,30,0,30,..,64,15,81,0,83
101021610,0,16,..,148,15,157,0,159,..,17,0,17,0,17,..,5,0,3,0,3,..,0,0,0,0,0,..,11,4,13,0,13,..,43,0,43,0,43,..,38,6,38,5,43,..,4,0,4,0,4,..,3,0,3,0,3,..,3,3,9,0,9,..,9,0,9,0,9,..,0,0,0,0,0,..,19,0,19,0,15,..,15,0,18,0,18,..,0,0,0,0,0,..,23,0,23,0,21,..,3,0,3,0,3,..,41,0,46,0,49,..,16,0,15,0,20,..,10,0,10,0,10,..,10,0,10,0,10,..,5,0,5,0,5,..,7,3,8,0,8,..,64,6,75,3,79,..,519,43,569,8,577,..,9,0,9,100,107,2447,529,43,575,109,3134,4879,..,..,..,..,4879,..,24,0,24,0,24,..,30,6,35,0,35,..,0,0,0,0,0,..,8,0,8,0,8,..,24,7,32,0,32
101021611,0,0,..,15,0,15,0,15,..,63,4,60,0,60,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,16,0,14,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,15,0,15,6,14,..,8,0,8,0,8,..,4,0,3,0,3,..,0,0,0,0,0,..,21,0,21,0,21,..,3,0,3,0,3,..,0,0,0,0,0,..,8,0,8,0,8,..,3,0,3,0,3,..,19,0,19,0,19,..,24,4,29,0,29,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,78,3,81,0,81,..,396,16,414,4,416,..,15,0,15,407,423,7290,410,19,425,412,8131,14835,..,..,..,..,14835,..,18,0,18,0,20,..,6,0,9,0,9,..,14,0,14,0,14,..,23,4,22,0,22,..,21,4,27,0,27
101031013,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,5,0,5,..,0,0,0,0,0,..,16,0,16,0,16,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,4,0,4,0,4,..,40,0,37,0,37,..,0,0,5,117,118,1078,38,0,40,117,1229,2162,..,..,..,..,2162,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0
101031014,0,0,..,50,10,55,3,55,..,24,0,23,0,23,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,6,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,5,0,5,0,5,..,10,0,10,0,10,..,3,0,3,0,3,..,20,0,20,0,20,..,6,9,15,0,15,..,0,0,0,0,0,..,20,4,19,0,19,..,0,0,0,0,0,..,0,0,6,0,6,..,43,7,48,4,51,..,270,37,302,4,306,..,8,0,8,160,171,2845,280,37,315,167,3321,5588,..,..,..,..,5588,..,7,0,7,0,7,..,27,4,26,3,26,..,5,0,5,0,5,..,17,3,24,0,24,..,17,6,22,0,19
101031015,0,0,..,5,0,6,0,6,..,3,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,12,0,12,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,14,3,18,0,17,..,68,9,72,4,80,..,0,0,0,139,139,1440,68,9,72,142,1659,3026,..,..,..,..,3026,..,6,0,6,0,6,..,13,0,13,0,13,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,3,6
