SA2_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
101021007,478,326,144,31,141,179,33,85,324,46,244,2032,109,3422,11,7,5,3,5,7,5,0,10,0,9,38,0,78,41,12,18,4,22,20,3,8,17,4,31,85,9,211,16,5,0,0,8,6,0,0,6,0,3,53,3,87,7,3,0,0,3,6,0,3,0,0,10,18,0,42,5,3,0,0,0,0,0,0,0,0,0,11,0,17,7,0,0,0,0,0,0,0,0,0,0,27,5,38,0,0,0,0,0,0,0,0,0,0,0,7,0,11,0,4,0,0,0,0,0,0,0,0,0,8,0,15,8,0,0,0,0,5,0,5,4,0,3,16,0,37,0,0,0,0,0,0,0,0,4,0,0,10,0,16,94,29,33,5,43,42,5,22,46,4,59,275,11,539,15,4,0,0,0,0,0,0,0,0,4,30,336,389,584,363,179,38,185,225,41,102,371,52,309,2336,454,4343,..,..,..,..
101021008,681,771,164,18,325,223,105,155,811,49,599,3804,251,6522,15,13,11,0,12,9,7,3,14,0,9,128,3,180,39,16,14,4,21,11,9,9,24,0,21,69,6,167,20,3,10,4,8,7,0,0,8,4,8,39,3,95,96,25,28,9,59,40,15,17,27,13,52,252,18,473,5,0,0,0,6,3,0,0,0,0,4,28,0,36,13,12,0,0,17,0,0,0,11,3,15,123,3,178,0,3,3,0,0,0,0,0,6,0,6,32,0,48,0,3,3,0,7,0,0,0,3,0,13,176,4,205,12,5,3,0,0,0,0,0,8,0,3,32,0,58,3,0,3,0,5,0,0,0,0,0,8,16,0,31,195,94,70,19,133,78,40,31,95,21,133,904,38,1468,9,7,4,0,12,6,3,0,4,3,7,28,456,524,886,868,245,37,468,312,146,184,910,80,732,4738,749,8517,..,..,..,..
101021009,819,845,201,79,391,277,110,169,1151,83,818,4390,260,7697,24,28,7,0,19,14,7,3,22,0,22,165,7,274,57,37,20,11,23,27,9,15,35,6,55,92,8,253,27,9,7,7,11,15,5,10,14,5,18,67,0,147,130,33,30,36,91,60,17,18,47,20,79,246,12,561,3,4,0,0,3,3,0,0,8,3,4,57,0,69,11,17,6,3,28,15,0,0,16,0,30,263,9,368,5,0,0,0,0,0,0,0,0,0,3,89,0,102,9,7,3,0,32,10,0,0,10,0,15,983,15,1065,6,7,6,3,6,8,0,0,16,0,14,63,0,105,6,6,4,0,9,3,0,0,4,0,13,62,0,93,276,146,86,55,219,152,42,53,165,39,256,2093,61,3038,22,8,8,0,9,4,0,7,7,0,6,38,525,604,1110,995,297,137,622,433,152,227,1322,124,1081,6516,851,11342,..,..,..,..
101021010,338,401,92,9,154,120,37,66,499,28,368,2098,112,3593,11,10,5,0,7,4,3,0,15,0,10,71,0,117,37,20,9,0,7,20,4,10,29,8,27,72,3,165,14,0,0,0,9,6,3,0,3,0,9,25,0,49,35,7,14,3,16,17,6,9,5,4,16,95,11,175,0,0,0,0,0,0,0,0,0,0,3,25,0,30,5,9,0,0,3,0,0,0,5,0,11,114,7,146,5,5,0,0,0,0,0,0,0,0,4,32,0,37,4,4,0,0,8,0,0,0,5,0,12,368,9,396,3,4,4,0,5,5,3,0,15,0,7,47,0,73,4,0,0,0,3,0,0,3,3,0,0,42,0,58,111,57,34,10,59,50,22,31,79,15,93,891,26,1257,4,4,0,0,0,5,0,0,0,0,0,17,218,243,455,470,125,15,214,173,55,97,579,44,462,3008,351,5085,..,..,..,..
101021012,732,963,254,18,306,211,67,116,989,55,932,6561,341,10156,21,26,6,0,13,5,0,5,23,0,21,148,5,239,62,24,31,6,23,30,5,21,41,7,44,217,12,415,23,12,15,0,8,8,0,0,8,0,22,85,5,149,70,15,15,10,48,32,7,16,22,16,40,222,6,414,4,0,0,0,3,0,0,0,0,0,4,41,4,50,11,14,3,0,15,5,3,0,3,0,11,165,6,229,8,4,0,0,3,0,0,0,4,0,8,72,3,103,5,13,3,0,20,13,4,0,3,3,16,223,3,287,11,15,3,0,9,9,0,5,10,0,14,113,6,173,9,8,0,0,7,4,0,0,18,0,18,80,0,128,218,134,89,19,158,112,21,46,145,28,193,1363,53,2186,7,3,5,0,4,4,0,3,7,0,10,15,361,399,960,1095,343,33,469,326,89,160,1138,83,1127,7945,754,12744,..,..,..,..
101021610,228,490,61,0,101,56,20,31,469,13,403,3310,120,4808,4,6,0,0,9,0,0,3,7,0,13,89,0,121,17,6,0,0,8,9,0,5,19,0,26,97,0,173,0,0,0,0,3,0,0,0,4,0,4,18,0,36,3,0,0,0,9,0,0,0,5,0,6,78,0,106,0,0,0,0,0,0,0,0,0,0,0,36,3,45,0,10,0,0,9,4,0,0,7,0,12,132,0,162,0,0,0,0,0,0,0,0,0,0,5,35,0,45,4,5,6,0,22,8,3,0,6,0,13,300,12,358,5,3,0,0,0,0,0,0,11,0,9,45,0,65,3,5,6,0,4,4,0,0,4,0,3,79,0,94,49,37,20,0,64,29,3,13,64,5,90,909,24,1204,3,3,0,0,0,3,0,0,3,0,0,8,193,213,277,533,83,9,163,85,23,38,537,18,498,4228,332,6224,..,..,..,..
101021611,1227,1275,393,25,471,398,136,195,1266,71,1132,8507,455,13507,48,30,17,5,10,17,6,6,28,0,29,140,7,258,137,64,45,3,47,60,14,27,80,7,123,356,24,753,44,10,12,3,29,25,4,5,16,8,23,128,7,246,51,6,11,4,36,29,5,12,7,8,27,119,11,255,0,0,4,0,0,0,0,0,4,0,0,14,0,22,10,8,0,0,8,9,5,0,11,0,8,81,0,125,0,4,6,0,0,0,0,0,3,0,0,39,3,55,8,3,3,0,7,12,0,0,6,0,5,37,0,62,22,22,5,0,13,6,0,0,21,0,21,134,6,208,13,15,4,0,9,8,0,0,10,5,20,54,0,110,334,168,110,25,158,158,37,51,188,31,255,1091,56,2090,27,12,3,0,10,0,0,3,12,0,14,65,831,938,1587,1455,505,47,647,557,169,252,1469,103,1405,9654,1342,16539,..,..,..,..
101031013,292,150,77,12,105,106,33,58,160,28,143,1197,80,2005,3,0,0,0,0,0,0,0,0,0,0,21,0,26,10,3,0,0,10,5,0,0,11,3,6,21,3,51,0,0,6,0,9,8,0,7,0,0,0,9,0,29,5,0,4,0,3,7,0,0,0,0,0,11,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,16,0,0,0,0,0,0,0,0,0,0,0,14,0,16,0,0,0,0,0,0,0,0,0,0,0,10,0,12,0,0,0,0,0,0,0,0,6,0,0,11,0,16,3,0,0,0,0,0,0,0,0,0,0,3,0,9,26,9,9,5,16,20,0,6,17,7,12,106,3,193,12,6,5,0,6,3,5,7,8,3,12,33,195,261,326,158,90,24,123,133,32,66,183,42,163,1334,273,2454,..,..,..,..
101031014,687,500,193,55,296,240,57,154,664,59,489,2851,342,5264,11,16,3,5,9,7,3,9,20,3,14,56,5,119,45,18,16,0,21,27,3,15,15,7,21,79,5,182,39,17,12,5,13,24,5,0,16,3,18,83,10,180,46,12,3,3,16,12,0,8,10,4,14,58,4,144,5,0,0,0,6,0,0,3,0,0,0,23,4,39,5,0,0,0,8,3,0,0,0,0,6,94,3,122,0,0,0,0,4,0,0,0,0,0,3,36,9,49,8,6,0,0,8,8,0,0,4,0,10,132,0,161,9,0,3,0,0,0,0,0,10,0,7,48,8,70,5,3,4,0,0,0,0,0,0,0,9,27,5,43,168,66,46,21,94,89,14,33,82,24,104,639,59,1105,19,7,5,6,15,8,6,4,10,6,5,32,307,389,875,568,240,81,399,336,79,190,756,74,598,3531,705,6761,..,..,..,..
101031015,324,256,110,8,119,139,23,70,280,25,240,1610,107,2749,5,3,0,0,0,0,3,0,3,0,3,19,0,34,41,13,15,4,20,17,5,3,8,6,18,64,3,154,14,3,5,0,3,7,0,8,5,5,7,43,0,76,8,5,0,0,5,3,0,0,0,0,0,19,0,43,3,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,9,0,16,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,11,8,6,0,0,0,0,0,0,0,0,8,19,4,36,0,0,0,0,0,0,0,0,0,0,3,10,0,16,77,28,21,4,26,27,7,16,27,9,34,211,16,396,11,3,0,0,6,4,6,6,4,0,3,21,286,324,410,291,134,15,160,172,30,83,303,32,280,1843,415,3472,..,..,..,..
