SA2_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
101021007,6,11,0,0,0,0,0,26,15,17,7,3,4,0,0,41,20,12,9,6,0,0,0,44,120,148,88,47,52,16,3,470,0,0,0,0,0,0,0,0,165,176,106,56,62,18,5,589,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,7,0,3,4,5,4,0,0,13,19,44,18,13,18,0,0,112,0,0,3,0,0,0,0,6,23,52,21,22,19,0,0,136,184,229,131,78,82,18,5,725
101021008,45,58,29,19,26,14,10,184,37,26,22,13,13,7,4,119,40,36,17,8,14,3,3,116,272,256,163,104,129,36,15,983,0,0,0,0,0,0,0,9,400,376,228,136,176,65,24,1403,5,3,10,4,3,3,0,18,9,8,3,4,12,0,0,37,0,5,5,3,0,0,0,20,70,91,77,48,46,10,5,342,4,3,4,0,0,0,0,18,92,118,92,59,56,12,4,434,491,491,325,197,234,77,27,1845
101021009,205,133,55,29,45,13,3,475,45,26,17,10,14,3,4,123,40,43,12,14,13,4,0,124,246,206,125,85,78,22,11,770,0,6,0,0,0,0,0,6,541,410,207,138,138,38,18,1491,17,14,10,0,6,0,0,50,5,9,8,3,14,3,0,40,3,8,0,6,0,3,0,19,59,107,59,25,40,19,8,311,5,5,0,0,0,0,0,10,85,148,75,36,63,23,11,435,623,557,288,173,202,57,31,1927
101021010,96,65,24,13,10,9,4,217,18,9,4,3,3,0,3,43,26,20,7,5,3,6,0,62,131,102,50,27,49,17,8,377,0,0,0,0,0,0,0,0,267,191,78,49,66,22,16,696,0,3,5,6,6,0,0,19,4,9,11,3,0,0,0,26,4,0,5,7,3,0,0,19,27,35,27,6,14,3,3,124,0,0,0,0,0,0,0,0,30,46,51,24,28,6,4,190,299,241,132,72,93,35,16,890
101021012,72,100,52,37,49,32,5,345,53,57,39,34,39,30,7,268,83,84,40,24,44,20,9,299,515,512,350,214,325,137,46,2098,4,0,0,0,0,0,0,8,725,754,490,309,461,217,61,3020,0,8,6,0,4,0,0,25,15,16,11,3,14,0,0,61,4,11,7,5,3,3,0,34,46,76,43,44,56,25,11,297,0,0,0,0,0,0,0,4,63,107,72,59,76,30,15,421,789,857,562,369,539,247,78,3445
101021610,134,111,49,32,37,13,6,389,61,37,16,11,8,4,0,132,51,40,21,8,7,0,3,134,516,357,141,76,87,19,4,1211,0,0,0,0,3,0,0,6,765,546,233,133,142,40,15,1869,3,6,0,0,4,0,0,22,3,16,0,3,3,0,0,28,4,3,3,4,5,0,0,12,28,30,18,13,10,8,0,106,4,0,0,0,0,0,0,4,46,54,28,20,19,3,4,175,808,601,257,154,160,50,18,2046
101021611,28,34,21,23,20,12,5,144,54,62,46,24,35,18,5,249,61,66,55,38,51,22,4,293,630,720,499,327,387,104,54,2718,0,3,0,4,6,0,0,12,770,886,628,414,496,153,70,3416,0,4,3,4,0,0,0,13,7,7,10,0,4,4,0,36,6,11,4,11,7,0,0,32,62,74,59,51,46,11,7,307,0,0,0,7,0,0,0,8,76,92,82,59,59,16,13,393,849,979,705,474,557,170,76,3808
101031013,0,3,0,0,0,0,0,5,0,3,4,0,5,0,0,11,0,0,6,4,0,0,0,11,80,107,41,37,40,9,4,314,0,5,0,0,0,0,0,5,82,116,49,37,42,13,4,340,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,11,0,0,0,0,0,0,0,6,8,24,19,16,11,0,0,82,0,0,6,0,0,0,0,4,13,31,25,15,13,0,0,98,93,147,75,54,53,12,4,436
101031014,47,38,19,7,13,0,0,125,18,12,10,6,12,0,0,58,18,11,14,8,5,0,0,64,225,178,112,67,69,10,8,670,3,0,0,0,0,0,0,3,305,244,159,87,101,15,11,923,0,6,7,3,3,0,0,16,7,13,0,0,5,0,3,24,0,3,3,0,0,0,0,16,51,64,33,33,32,5,7,226,0,7,4,0,0,0,0,16,59,93,49,38,56,5,7,297,367,331,212,120,149,21,16,1220
101031015,3,10,3,3,4,0,0,22,3,15,8,0,4,0,0,33,6,6,3,3,6,0,0,27,109,122,84,72,63,10,7,458,0,0,0,0,0,0,0,5,123,145,100,81,80,10,3,541,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,5,10,13,13,16,0,0,68,0,0,0,0,0,0,0,0,5,14,13,15,19,0,0,78,130,163,118,98,97,10,5,614
