SA2_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
101021007,320,32,18,4,0,0,3,384
101021008,846,103,63,10,0,0,8,1025
101021009,911,77,47,11,0,0,5,1048
101021010,432,47,25,0,0,0,0,507
101021012,1728,159,75,11,0,0,7,1978
101021610,962,88,47,11,0,0,3,1111
101021611,1939,225,82,18,9,0,12,2287
101031013,153,22,15,0,0,0,6,201
101031014,499,74,35,0,0,0,0,616
101031015,297,39,17,0,0,0,6,354
101031016,688,68,22,0,0,0,5,782
101041017,500,77,40,3,0,0,12,634
101041018,533,76,30,10,0,0,15,657
101041019,672,91,38,8,0,0,8,816
101041020,751,89,47,16,0,0,11,915
101041021,290,36,15,0,3,0,3,346
101041022,0,0,0,0,0,0,0,0
101041023,178,46,17,3,0,0,3,247
101041024,234,35,11,7,3,0,0,281
101041025,758,141,34,0,0,0,7,948
101041026,514,92,35,4,0,0,12,657
101041027,537,75,34,3,6,0,7,670
101051539,1848,278,168,34,5,0,26,2350
101051540,1201,140,69,20,0,0,13,1445
101061541,643,99,28,7,0,0,10,790
101061542,1477,156,67,24,0,0,10,1730
101061543,862,105,82,7,0,0,8,1069
101061544,594,65,45,6,0,0,9,718
102011028,880,93,29,3,0,0,3,1005
102011029,1197,103,41,3,0,0,10,1357
102011030,450,53,24,4,0,0,0,530
102011031,1407,161,58,11,0,4,8,1649
102011032,1646,226,59,12,5,0,10,1954
102011033,821,64,40,10,0,0,0,942
102011034,717,71,40,13,0,0,6,848
102011035,837,73,39,8,0,3,3,965
102011036,970,110,46,12,0,0,10,1145
102011037,711,57,21,0,3,0,9,802
102011038,742,100,33,6,0,0,3,892
102011039,1604,164,59,8,0,0,3,1841
102011040,1887,228,110,20,3,5,13,2263
102011041,1228,143,58,13,0,0,4,1445
102011042,1095,133,51,13,4,0,8,1297
102011043,1010,116,68,13,5,0,9,1232
102021044,2130,277,120,14,0,0,18,2566
102021045,933,163,109,15,3,3,10,1234
102021046,673,124,65,17,5,0,7,887
102021047,1672,224,80,13,3,0,18,2017
102021048,1545,250,135,27,4,4,25,1993
102021049,396,51,17,7,0,3,0,474
102021050,721,143,59,17,6,0,12,960
102021051,550,60,24,8,0,0,0,644
102021052,536,90,53,0,3,0,10,698
102021053,982,183,58,12,0,0,10,1250
102021054,690,108,45,8,0,0,7,853
102021055,535,62,37,11,0,0,10,651
102021056,2171,288,178,28,5,6,16,2698
102021057,644,98,64,6,4,0,5,822
103011059,1165,185,82,13,3,0,7,1453
103011060,677,73,33,14,5,0,9,812
103011061,322,36,24,3,0,0,10,400
103011612,513,73,36,4,0,0,8,636
103011613,1321,207,103,12,3,3,15,1665
103021062,528,55,22,9,0,0,8,618
103021063,663,83,49,11,6,0,4,803
103021064,432,53,31,3,0,0,3,523
103021065,758,86,42,11,0,0,5,910
103021066,248,33,22,4,0,0,0,308
103021067,838,153,63,13,4,0,15,1073
103021068,247,30,14,4,0,0,4,301
103021069,453,61,26,0,0,0,3,549
103031070,806,118,61,14,4,4,16,1020
103031071,678,116,50,5,4,0,12,873
103031072,1105,146,74,18,4,0,14,1357
103031073,208,25,12,3,0,0,6,248
103031074,961,135,52,12,4,0,13,1190
103031075,0,0,0,0,0,0,0,0
103041076,665,106,41,13,3,0,10,839
103041077,1340,194,97,14,5,0,14,1656
103041078,2323,315,152,25,0,0,19,2830
103041079,1247,132,66,9,0,0,10,1473
104011080,1189,224,124,19,4,6,13,1579
104011081,1180,185,75,30,3,0,23,1503
104011082,1120,182,78,13,3,0,11,1410
104021083,481,65,41,4,0,0,6,603
104021084,1271,189,94,21,4,0,17,1587
104021085,713,123,43,7,5,0,11,894
104021086,378,63,22,8,0,0,0,474
104021087,212,18,15,4,0,0,0,249
104021088,1020,128,36,10,0,0,0,1200
104021089,1687,222,85,26,10,7,19,2048
104021090,326,40,20,3,0,0,3,399
104021091,1201,150,51,18,4,6,11,1445
105011092,217,31,8,14,0,0,13,277
105011093,287,51,29,0,0,0,9,378
105011094,256,25,20,7,0,0,4,311
105011095,364,44,21,0,0,0,8,445
105011096,255,46,16,11,0,0,4,323
105021097,1050,221,96,21,0,0,13,1417
105021098,130,11,9,4,0,0,4,160
105031099,529,58,30,11,0,0,11,637
105031100,878,119,60,14,5,0,12,1087
105031101,1637,257,90,13,0,3,16,2017
105031102,805,154,67,18,4,0,18,1066
105031103,617,81,29,10,0,0,5,741
105031104,310,40,12,4,0,0,6,379
105031105,500,61,28,4,0,3,11,601
105031106,506,83,40,13,4,0,12,650
106011107,1319,216,95,26,0,0,12,1676
106011108,1587,270,135,33,7,4,26,2060
106011109,866,121,61,23,0,5,9,1081
106011110,908,126,54,8,6,0,16,1119
106011111,1729,308,173,30,11,5,31,2284
106011112,1587,257,116,18,5,0,7,1995
106011113,572,75,31,11,0,0,7,704
106021114,818,127,74,13,3,0,11,1045
106021116,1053,128,44,13,0,0,7,1249
106021614,1665,274,93,18,7,0,10,2071
106021615,1771,303,151,11,4,0,17,2257
106021616,615,123,59,10,0,0,15,817
106021617,856,148,43,8,3,0,0,1062
106021618,1874,284,126,14,5,0,7,2317
106031119,512,74,34,9,0,0,8,642
106031120,442,80,45,8,7,0,16,596
106031121,1506,228,80,19,0,0,12,1850
106031122,988,227,118,15,7,4,19,1375
106031123,714,78,36,9,3,0,9,844
106031124,240,34,12,7,0,0,3,296
106031125,1527,222,103,14,6,5,16,1885
106041126,952,176,98,19,3,0,16,1266
106041127,349,55,31,0,4,0,5,454
106041128,532,88,35,6,3,0,9,671
106041129,701,70,44,9,9,0,12,836
107011131,2186,315,171,31,3,4,30,2746
107011132,1538,184,85,16,3,0,6,1834
107011133,0,0,0,0,0,0,0,0
107011134,1792,151,73,7,0,0,10,2040
107011545,1302,128,68,15,3,5,15,1530
107011546,789,83,32,15,0,0,7,921
107011547,334,47,14,4,0,0,0,404
107021135,0,0,0,0,0,0,0,0
107031136,2232,303,154,23,3,0,18,2731
107031137,508,96,60,14,3,0,9,696
107031138,742,86,33,4,0,0,0,876
107031139,693,72,25,4,0,0,3,796
107031140,818,97,27,8,0,0,3,962
107031141,2305,311,109,18,0,0,12,2762
107031142,930,149,54,14,0,0,9,1168
107031143,1505,241,114,17,7,0,27,1902
107041144,2121,195,55,11,0,0,14,2399
107041145,1484,150,59,7,4,0,12,1718
107041146,2534,204,89,16,0,0,8,2850
107041147,1271,107,38,16,0,0,5,1434
107041148,1500,122,22,12,0,0,6,1656
107041150,2458,237,76,18,0,0,3,2788
107041548,745,91,17,4,4,0,0,857
107041549,1438,122,28,8,0,3,8,1605
108011151,398,49,33,3,0,0,5,490
108011152,841,134,45,10,3,0,3,1036
108011153,486,61,21,9,0,0,13,589
108011154,272,51,19,3,0,0,10,356
108021155,891,156,84,17,0,7,17,1175
108021156,674,94,34,23,0,6,11,839
108021157,368,54,19,7,4,0,0,457
108021158,348,48,33,4,0,0,3,443
108021159,607,79,36,11,4,0,12,741
108021160,342,26,19,6,0,0,8,399
108031161,35,4,0,0,0,0,0,37
108041162,1247,184,64,7,0,0,19,1515
108041164,1395,242,88,11,0,0,15,1745
